lge lge_lo lge_hi eff eff_err sigma_en delta_en
-1.7745454545454544 -1.8 -1.749090909090909 4.339253639702609e-05 1.0204844715940605e-06 0.24336963356383676 0.3907222553256033
-1.7236363636363636 -1.749090909090909 -1.6981818181818182 9.361167173579926e-05 1.589305998838688e-06 0.22574179521632093 0.2873424923714171
-1.6727272727272728 -1.6981818181818182 -1.6472727272727274 0.0001807130355903891 2.3413853235707735e-06 0.21565822150621836 0.2042182569700683
-1.621818181818182 -1.6472727272727274 -1.5963636363636364 0.00030263312488954273 3.212657638020953e-06 0.21585080259620593 0.14174352034531126
-1.5709090909090908 -1.5963636363636364 -1.5454545454545454 0.00045239114687451256 4.164714911988963e-06 0.20634764056521976 0.08398011438342151
-1.52 -1.5454545454545454 -1.4945454545454546 0.0006361420222528971 5.236244226796421e-06 0.20726675164266756 0.04738384380254695
-1.4690909090909092 -1.4945454545454546 -1.4436363636363638 0.0008103032963234756 6.265898480828687e-06 0.21014817836579028 0.0231137213787886
-1.4181818181818184 -1.4436363636363638 -1.3927272727272728 0.0010214895875896627 7.459078338794867e-06 0.21139462381400265 0.004801128798446844
-1.3672727272727272 -1.3927272727272728 -1.3418181818181818 0.0012070159151145229 8.596841278953751e-06 0.21476240471783603 -0.002259489379890609
-1.3163636363636364 -1.3418181818181818 -1.290909090909091 0.0014064158213644158 9.838988922615482e-06 0.21866956087262557 -0.004863306309629984
-1.2654545454545456 -1.290909090909091 -1.2400000000000002 0.001593111337705012 1.1102751210510697e-05 0.21919049099858556 0.0067563555497664055
-1.2145454545454548 -1.2400000000000002 -1.1890909090909092 0.001870630308224575 1.275544768278783e-05 0.20659656765502726 0.02450424399524909
-1.1636363636363636 -1.1890909090909092 -1.1381818181818182 0.002322455170176119 1.5067167599156462e-05 0.18582955902528958 0.038612416926739876
-1.1127272727272728 -1.1381818181818182 -1.0872727272727274 0.0029378203752240912 1.79635073835205e-05 0.16095421128663914 0.033852524933394204
-1.061818181818182 -1.0872727272727274 -1.0363636363636366 0.0036537300268033534 2.1234660324306536e-05 0.1419997106962359 0.019372091954544136
-1.0109090909090912 -1.0363636363636366 -0.9854545454545456 0.004284456882686657 2.4374853745419274e-05 0.1352448832968159 0.0009866794246188493
-0.9600000000000002 -0.9854545454545456 -0.9345454545454547 0.004908291406555316 2.7655260628619332e-05 0.13357100450037318 -0.011673728143356484
-0.9090909090909092 -0.9345454545454547 -0.8836363636363638 0.005627189166280178 3.138744435064594e-05 0.13100139316209383 -0.016248906213296537
-0.8581818181818184 -0.8836363636363638 -0.8327272727272729 0.0063878144857273745 3.544661149335244e-05 0.12686679171875054 -0.02407396361987592
-0.8072727272727274 -0.8327272727272729 -0.781818181818182 0.007046044388449491 3.946225615333487e-05 0.12403275933600307 -0.027067694583741253
-0.7563636363636366 -0.781818181818182 -0.7309090909090912 0.007865047575421377 4.4191146202791014e-05 0.12059557956587767 -0.02680257653630074
-0.7054545454545457 -0.7309090909090912 -0.6800000000000002 0.008749799080090931 4.940199007857696e-05 0.11843304156381117 -0.02635667365934772
-0.6545454545454547 -0.6800000000000002 -0.6290909090909091 0.009820606797023125 5.5466965689526805e-05 0.11507456249028736 -0.025111868365143734
-0.6036363636363637 -0.6290909090909091 -0.5781818181818184 0.010946299116635659 6.205923853203174e-05 0.1123245982426304 -0.020223857571743588
-0.552727272727273 -0.5781818181818184 -0.5272727272727276 0.012127296312915151 6.922291494620785e-05 0.10736170786143852 -0.01592173278343848
-0.501818181818182 -0.5272727272727276 -0.47636363636363654 0.013096346811615804 7.624026610507037e-05 0.09892052686279286 -0.01751712675024652
