lge lge_lo lge_hi eff eff_err sigma_en delta_en
-1.7745454545454544 -1.8 -1.749090909090909 0.0 0.0 nan nan
-1.7236363636363636 -1.749090909090909 -1.6981818181818182 0.0 0.0 nan nan
-1.6727272727272728 -1.6981818181818182 -1.6472727272727274 0.0 0.0 nan nan
-1.621818181818182 -1.6472727272727274 -1.5963636363636364 0.0 0.0 nan nan
-1.5709090909090908 -1.5963636363636364 -1.5454545454545454 0.0 0.0 nan nan
-1.52 -1.5454545454545454 -1.4945454545454546 0.0 0.0 nan nan
-1.4690909090909092 -1.4945454545454546 -1.4436363636363638 0.0 0.0 nan nan
-1.4181818181818184 -1.4436363636363638 -1.3927272727272728 0.0 0.0 nan nan
-1.3672727272727272 -1.3927272727272728 -1.3418181818181818 0.0 6.130407222901242e-08 0.0 0.5011095433259516
-1.3163636363636364 -1.3418181818181818 -1.290909090909091 0.0 6.892843427236782e-08 0.0 0.48467960565341284
-1.2654545454545456 -1.290909090909091 -1.2400000000000002 4.650062281684215e-07 1.8983795356687635e-07 0.16534587251162092 0.1782629366885364
-1.2145454545454548 -1.2400000000000002 -1.1890909090909092 0.0 8.71398065272925e-08 0.0 0.025808943120067793
-1.1636363636363636 -1.1890909090909092 -1.1381818181818182 0.0 1.3856088752383922e-07 0.20107571811224156 0.06462304829960867
-1.1127272727272728 -1.1381818181818182 -1.0872727272727274 0.0 1.1016274986519019e-07 0.0 0.21693874946057762
-1.061818181818182 -1.0872727272727274 -1.0363636363636366 0.0 2.1453809979546513e-07 0.03335923814051441 -0.13171881283480855
-1.0109090909090912 -1.0363636363636366 -0.9854545454545456 5.570740973458142e-07 2.785369710900088e-07 0.0113887302378549 -0.1227743053989601
-0.9600000000000002 -0.9854545454545456 -0.9345454545454547 0.0 2.214506679944226e-07 0.001957474089901323 -0.2040077253928621
-0.9090909090909092 -0.9345454545454547 -0.8836363636363638 0.0 3.049521280861811e-07 0.06906240322630137 -0.04483736654393755
-0.8581818181818184 -0.8836363636363638 -0.8327272727272729 0.0 2.799594673146554e-07 0.02106908672925447 -0.076512278312664
-0.8072727272727274 -0.8327272727272729 -0.781818181818182 8.903265590661474e-07 4.4516308136268416e-07 0.0896738105287431 -0.06610789224358024
-0.7563636363636366 -0.781818181818182 -0.7309090909090912 0.0 2.502639956487121e-07 0.0 -0.14002071052219284
-0.7054545454545457 -0.7309090909090912 -0.6800000000000002 0.0 4.873802915585602e-07 0.04838800974791381 -0.015355792750932037
-0.6545454545454547 -0.6800000000000002 -0.6290909090909091 0.0 4.4743656343372625e-07 0.12163401167384055 0.08473580005771954
-0.6036363636363637 -0.6290909090909091 -0.5781818181818184 1.4229370662813244e-06 7.114680269530085e-07 0.07142602104495353 0.008737804294415643
-0.552727272727273 -0.5781818181818184 -0.5272727272727276 0.0 5.656523766755851e-07 0.07418842767935907 0.020324608824275222
-0.501818181818182 -0.5272727272727276 -0.47636363636363654 0.0 6.360022990012846e-07 0.002375615891477535 -0.029083062537044638
-0.45090909090909104 -0.47636363636363654 -0.42545454545454553 0.0 5.056533212250985e-07 0.0 -0.010406910876790337
-0.40000000000000013 -0.42545454545454553 -0.37454545454545474 0.0 8.04038446403938e-07 0.05208722807646576 -0.06437964064272335
-0.34909090909090934 -0.37454545454545474 -0.32363636363636394 0.0 9.040363141107514e-07 0.0321608131861403 0.006364998079677137
-0.29818181818181844 -0.32363636363636394 -0.27272727272727293 3.593769768362104e-06 1.607179811583374e-06 0.15072407064048304 0.05693448666520586
-0.24727272727272742 -0.27272727272727293 -0.22181818181818191 0.0 8.081447613904271e-07 0.0 0.12899362495211011
-0.19636363636363652 -0.22181818181818191 -0.17090909090909112 0.0 9.086533480670334e-07 0.0 -0.1078987562245597
-0.14545454545454573 -0.17090909090909112 -0.12000000000000033 0.0 0.0 nan nan
-0.09454545454545482 -0.12000000000000033 -0.06909090909090931 0.0 1.6245426186695665e-06 0.053178400340367166 -0.09641239131462462
-0.043636363636363806 -0.06909090909090931 -0.0181818181818183 0.0 2.2371004601864532e-06 0.03491283914273188 -0.190569984706186
0.0072727272727270975 -0.0181818181818183 0.032727272727272494 0.0 2.0537574849207207e-06 0.04883528335800623 -0.08944086851615908
0.05818181818181789 0.032727272727272494 0.08363636363636329 0.0 1.632839615012649e-06 0.0 -0.04105934090114553
0.1090909090909088 0.08363636363636329 0.1345454545454543 0.0 2.596373539339274e-06 0.0010894555173700951 -0.008037900228392143
0.1599999999999998 0.1345454545454543 0.18545454545454532 0.0 0.0 nan nan
0.2109090909090907 0.18545454545454532 0.2363636363636361 0.0 0.0 nan nan
0.2618181818181815 0.2363636363636361 0.2872727272727269 0.0 4.520007692912632e-06 0.026088923348154377 -0.06063571704886522
0.3127272727272723 0.2872727272727269 0.3381818181818177 2.0539382255082105e-05 7.763077064345392e-06 0.06032334063935441 0.05785170115504327
0.3636363636363633 0.3381818181818177 0.38909090909090893 0.0 3.2991169575366922e-06 0.0 -0.023722509516070505
0.41454545454545433 0.38909090909090893 0.4399999999999997 0.0 0.0 nan nan
0.4654545454545451 0.4399999999999997 0.4909090909090905 0.0 4.170764848348661e-06 0.0 0.07197634781895758
0.5163636363636361 0.4909090909090905 0.5418181818181818 0.0 6.631910588060878e-06 0.06537578985583722 0.0189650984906364
0.5672727272727272 0.5418181818181818 0.5927272727272725 0.0 0.0 nan nan
0.6181818181818179 0.5927272727272725 0.6436363636363633 0.0 1.0268349644126307e-05 0.029414289711270056 0.0605520594138115
