lge lge_lo lge_hi eff eff_err sigma_en delta_en
-1.7745454545454544 -1.8 -1.749090909090909 0.0 0.0 nan nan
-1.7236363636363636 -1.749090909090909 -1.6981818181818182 0.0 0.0 nan nan
-1.6727272727272728 -1.6981818181818182 -1.6472727272727274 0.0 0.0 nan nan
-1.621818181818182 -1.6472727272727274 -1.5963636363636364 0.0 0.0 nan nan
-1.5709090909090908 -1.5963636363636364 -1.5454545454545454 0.0 0.0 nan nan
-1.52 -1.5454545454545454 -1.4945454545454546 0.0 4.312827176508771e-08 0.0 0.25205964918574575
-1.4690909090909092 -1.4945454545454546 -1.4436363636363638 3.8793694617521274e-07 1.3715639605262237e-07 0.12815440361197897 0.5007721535670022
-1.4181818181818184 -1.4436363636363638 -1.3927272727272728 1.199507388682817e-06 2.5573568116246673e-07 0.23396958060405318 0.5613635169290576
-1.3672727272727272 -1.3927272727272728 -1.3418181818181818 4.0460688911350755e-06 4.980356448685899e-07 0.18711738355106897 0.4075116386483764
-1.3163636363636364 -1.3418181818181818 -1.290909090909091 1.647389635885588e-05 1.0655989935611348e-06 0.17259708969252244 0.3597589544826451
-1.2654545454545456 -1.290909090909091 -1.2400000000000002 5.293320897317198e-05 2.0253793445949006e-06 0.1799384163947351 0.29768812762929947
-1.2145454545454548 -1.2400000000000002 -1.1890909090909092 0.0001409050732938528 3.503813817232731e-06 0.1676671972774905 0.2378575669093135
-1.1636363636363636 -1.1890909090909092 -1.1381818181818182 0.00032548076591820235 5.646181393257405e-06 0.1564198581066677 0.1898934703232261
-1.1127272727272728 -1.1381818181818182 -1.0872727272727274 0.0006412574022866145 8.402224857452972e-06 0.14192971156455247 0.13996163885050902
-1.061818181818182 -1.0872727272727274 -1.0363636363636366 0.0011407842411980094 1.188025707972572e-05 0.13520079882703606 0.09373396104854202
-1.0109090909090912 -1.0363636363636366 -0.9854545454545456 0.0017650892774402121 1.56648486207487e-05 0.13592769621011724 0.05445525270974999
-0.9600000000000002 -0.9854545454545456 -0.9345454545454547 0.002515763590292477 1.9822981090596534e-05 0.1321542236057365 0.027676945450295098
-0.9090909090909092 -0.9345454545454547 -0.8836363636363638 0.0033353609576049466 2.419254309187442e-05 0.12598671734978095 0.011143712739313562
-0.8581818181818184 -0.8836363636363638 -0.8327272727272729 0.004119772135318966 2.8499042976468165e-05 0.11963561226832206 -0.008247242673652153
-0.8072727272727274 -0.8327272727272729 -0.781818181818182 0.004605659290049181 3.194391606459013e-05 0.1181292859954269 -0.020228146622925887
-0.7563636363636366 -0.781818181818182 -0.7309090909090912 0.005019045060778175 3.535225698655464e-05 0.11765565003684414 -0.022827700152738953
-0.7054545454545457 -0.7309090909090912 -0.6800000000000002 0.0055743212663322515 3.949443655323441e-05 0.11276496699576007 -0.02120681541449186
-0.6545454545454547 -0.6800000000000002 -0.6290909090909091 0.006195461414281792 4.41362693462708e-05 0.10705606669810491 -0.023672558195893513
-0.6036363636363637 -0.6290909090909091 -0.5781818181818184 0.0067358283375092195 4.878549782049088e-05 0.10353627636937009 -0.025394301996445934
-0.552727272727273 -0.5781818181818184 -0.5272727272727276 0.00734557377264798 5.4004419251316e-05 0.10088562539483142 -0.02256302987989754
-0.501818181818182 -0.5272727272727276 -0.47636363636363654 0.00808554717647198 6.005701715446168e-05 0.09535421681061289 -0.020838160179873777
-0.45090909090909104 -0.47636363636363654 -0.42545454545454553 0.008219902468046481 6.420480239229404e-05 0.09342229356644721 -0.020942235455080907
-0.40000000000000013 -0.42545454545454553 -0.37454545454545474 0.008674804086539164 6.992282116048611e-05 0.09186036587918887 -0.015059495890186568
-0.34909090909090934 -0.37454545454545474 -0.32363636363636394 0.009857244510872283 7.898820592370453e-05 0.08585848483411451 -0.010017309948281018
-0.29818181818181844 -0.32363636363636394 -0.27272727272727293 0.011318937262433281 8.968525712061792e-05 0.08130585171146396 -0.01028585670260513
-0.24727272727272742 -0.27272727272727293 -0.22181818181818191 0.012266834289837233 9.89534034946706e-05 0.07918727811868509 -0.013041776586242509
-0.19636363636363652 -0.22181818181818191 -0.17090909090909112 0.013448075661215747 0.00010979669312959009 0.07618960042883134 -0.01108505829184019
-0.14545454545454573 -0.17090909090909112 -0.12000000000000033 0.01484578005805882 0.00012223832260919404 0.07612681501681638 -0.010594506383062268
-0.09454545454545482 -0.12000000000000033 -0.06909090909090931 0.01613960622293137 0.00013505837230608981 0.07456509571890155 -0.010726727066265703
-0.043636363636363806 -0.06909090909090931 -0.0181818181818183 0.017732281055036284 0.00014998923482195596 0.07185158531264019 -0.009125012657122338
0.0072727272727270975 -0.0181818181818183 0.032727272727272494 0.020367497047383516 0.0001702228353197116 0.06990788642708969 -0.010105761108382402
0.05818181818181789 0.032727272727272494 0.08363636363636329 0.023545566471572785 0.00019375481502521762 0.0708263636921588 -0.009569109859043133
0.1090909090909088 0.08363636363636329 0.1345454545454543 0.02686496916992201 0.00021908175611094462 0.0705037727063407 -0.008509579136265316
0.1599999999999998 0.1345454545454543 0.18545454545454532 0.031130937874714045 0.0002495224804081381 0.0707481813509357 -0.009407651591392261
0.2109090909090907 0.18545454545454532 0.2363636363636361 0.0352138889052817 0.00028080710629776724 0.07254272216074505 -0.007305645114883429
0.2618181818181815 0.2363636363636361 0.2872727272727269 0.04013101121986754 0.00031705613075230413 0.07292950945381 -0.006979830526825996
0.3127272727272723 0.2872727272727269 0.3381818181818177 0.04494016837411965 0.00035487655311732447 0.07198694736872953 -0.007779669153655667
