lge lge_lo lge_hi eff eff_err sigma_en delta_en
-1.7745454545454544 -1.8 -1.749090909090909 9.22896184504574e-05 1.480789064482985e-06 0.18781827258112083 0.3507473879245225
-1.7236363636363636 -1.749090909090909 -1.6981818181818182 0.00019815772117162848 2.30066733298395e-06 0.18982033596552847 0.26312582742258706
-1.6727272727272728 -1.6981818181818182 -1.6472727272727274 0.0003694850940183196 3.330919364280378e-06 0.18412927732294893 0.18222914587114294
-1.621818181818182 -1.6472727272727274 -1.5963636363636364 0.0006295064863690611 4.609606114904381e-06 0.18655871074823407 0.1255482718324902
-1.5709090909090908 -1.5963636363636364 -1.5454545454545454 0.0009650858084045076 6.051015901567369e-06 0.18842140531237375 0.07785708551735575
-1.52 -1.5454545454545454 -1.4945454545454546 0.0013451081713524386 7.573486650679709e-06 0.1922132440500846 0.04300585937682099
-1.4690909090909092 -1.4945454545454546 -1.4436363636363638 0.0017812045269709371 9.23918905682265e-06 0.19545856974376652 0.01864258334281162
-1.4181818181818184 -1.4436363636363638 -1.3927272727272728 0.002240462523584076 1.0985009039983977e-05 0.20009210190002452 0.005386740461334615
-1.3672727272727272 -1.3927272727272728 -1.3418181818181818 0.0026400105422118778 1.2641598117156609e-05 0.2010707657615511 -0.007023480081592465
-1.3163636363636364 -1.3418181818181818 -1.290909090909091 0.0030772627301456678 1.4469074834795302e-05 0.20049230170966176 -0.0058167913312352
-1.2654545454545456 -1.290909090909091 -1.2400000000000002 0.0034749429603623577 1.630047353182019e-05 0.19761069342260412 -0.003018774062410122
-1.2145454545454548 -1.2400000000000002 -1.1890909090909092 0.003975016842660043 1.8481678755716286e-05 0.18973126078195915 0.007814433277822634
-1.1636363636363636 -1.1890909090909092 -1.1381818181818182 0.004812194727702224 2.1553384641295514e-05 0.17112439555937958 0.017501947786546963
-1.1127272727272728 -1.1381818181818182 -1.0872727272727274 0.006027348019129972 2.5562083987633753e-05 0.14990860225682254 0.013869786965342303
-1.061818181818182 -1.0872727272727274 -1.0363636363636366 0.00732807133515518 2.9867451392235463e-05 0.13601472272043819 0.0013660878566748836
-1.0109090909090912 -1.0363636363636366 -0.9854545454545456 0.00852349906175325 3.413541349585031e-05 0.13010491395209925 -0.012941737194083137
-0.9600000000000002 -0.9854545454545456 -0.9345454545454547 0.009620150503431863 3.8432742212135814e-05 0.12776614037341122 -0.019515862824177835
-0.9090909090909092 -0.9345454545454547 -0.8836363636363638 0.010914742530631492 4.337981538864227e-05 0.12489140793934793 -0.022809096268654294
-0.8581818181818184 -0.8836363636363638 -0.8327272727272729 0.012338841694577666 4.887196671005757e-05 0.12011062391823805 -0.024783063934330083
-0.8072727272727274 -0.8327272727272729 -0.781818181818182 0.013544190228471874 5.426109056317293e-05 0.11628957236818972 -0.02638425160326511
-0.7563636363636366 -0.781818181818182 -0.7309090909090912 0.014965292019722446 6.043605227917491e-05 0.11237680255204133 -0.025720456400423718
-0.7054545454545457 -0.7309090909090912 -0.6800000000000002 0.016207772260329566 6.664930508134673e-05 0.10854897483957052 -0.0234998330728091
-0.6545454545454547 -0.6800000000000002 -0.6290909090909091 0.017857351708821675 7.411952473052056e-05 0.10344867409792842 -0.022181351189527836
-0.6036363636363637 -0.6290909090909091 -0.5781818181818184 0.019440086557535475 8.19365218717057e-05 0.10021376839096278 -0.020144500485921913
-0.552727272727273 -0.5781818181818184 -0.5272727272727276 0.020873789792139285 8.99634074775026e-05 0.09668085385891115 -0.019659932956859232
-0.501818181818182 -0.5272727272727276 -0.47636363636363654 0.02239413795829217 9.873008802153847e-05 0.09256067129465595 -0.01929106264504688
-0.45090909090909104 -0.47636363636363654 -0.42545454545454553 0.023631864883512647 0.0001074758262423142 0.09005372727623312 -0.020105290955029262
-0.40000000000000013 -0.42545454545454553 -0.37454545454545474 0.024820380256599082 0.00011672289901656186 0.08901367683817964 -0.018004800867496847
-0.34909090909090934 -0.37454545454545474 -0.32363636363636394 0.027095283003882458 0.0001291653685908772 0.08670844716848175 -0.014425104534155337
-0.29818181818181844 -0.32363636363636394 -0.27272727272727293 0.029937103419745023 0.0001437551686644767 0.08309873179896136 -0.0160500362878775
-0.24727272727272742 -0.27272727272727293 -0.22181818181818191 0.03151048966003872 0.0001562601420923425 0.08231801615716615 -0.01733197241534077
-0.19636363636363652 -0.22181818181818191 -0.17090909090909112 0.03260555291070176 0.00016845166323083003 0.08014416044865383 -0.017312066261373684
-0.14545454545454573 -0.17090909090909112 -0.12000000000000033 0.03460027304491841 0.0001838127438539145 0.07840782120819044 -0.01827143171104749
-0.09454545454545482 -0.12000000000000033 -0.06909090909090931 0.03773094231134089 0.00020320477124558838 0.07665276330104702 -0.016509664272285805
-0.043636363636363806 -0.06909090909090931 -0.0181818181818183 0.04128416555089925 0.0002249717909910923 0.07440860086715877 -0.016509013033627843
0.0072727272727270975 -0.0181818181818183 0.032727272727272494 0.04490036679109096 0.0002483105598340586 0.07303866677876138 -0.018171380011763834
0.05818181818181789 0.032727272727272494 0.08363636363636329 0.0477040656912796 0.00027099676919658134 0.07181514369527818 -0.020644631885140503
0.1090909090909088 0.08363636363636329 0.1345454545454543 0.0513140454981219 0.00029746396281791213 0.07084224904737438 -0.021371926680238264
0.1599999999999998 0.1345454545454543 0.18545454545454532 0.0551392721651662 0.00032630517062281784 0.07120270199989151 -0.02147163733877585
0.2109090909090907 0.18545454545454532 0.2363636363636361 0.05919120397810549 0.0003577201126550498 0.07032743407151745 -0.02174497141948634
0.2618181818181815 0.2363636363636361 0.2872727272727269 0.06322760472832453 0.00039119116691463624 0.07114048035550707 -0.020792015919406406
0.3127272727272723 0.2872727272727269 0.3381818181818177 0.06719558901031877 0.0004267159302991597 0.07125046893480036 -0.01878823055615429
0.3636363636363633 0.3381818181818177 0.38909090909090893 0.07066303276015996 0.0004631380540748583 0.0710368392188563 -0.01884573630402977
